Date,Department,Expense_Category,Expense_Amount
09-08-2024,Finance,Trade Promotion,115961
12-03-2024,Admin,Advertising,104907
21-11-2024,Admin,Office Expenses,199327
14-07-2024,Marketing,Salaries,137271
05-08-2024,Sales,Office Expenses,145945
04-09-2024,Finance,Advertising,55930
10-12-2024,Marketing,Advertising,85591
03-10-2024,Finance,Logistics,179534
11-10-2024,Admin,Logistics,2437
24-03-2024,Sales,Trade Promotion,134192
18-06-2024,Admin,Trade Promotion,99239
24-03-2024,Marketing,Trade Promotion,196705
10-12-2024,Sales,Trade Promotion,153449
12-05-2024,Finance,Logistics,124565
19-09-2024,Sales,Trade Promotion,158050
16-02-2024,Sales,Trade Promotion,190702
04-06-2024,Marketing,Salaries,157997
09-10-2024,Marketing,Advertising,191912
24-03-2024,Admin,Logistics,140817
24-08-2024,Sales,Logistics,146436
29-05-2024,Sales,Salaries,118316
18-01-2024,Supply Chain,Salaries,177460
23-11-2024,Admin,Salaries,199906
23-01-2024,Supply Chain,Advertising,153782
13-10-2024,Marketing,Logistics,123240
28-05-2024,Finance,Salaries,115646
02-06-2024,Admin,Trade Promotion,53725
18-02-2024,Sales,Trade Promotion,105268
02-05-2024,Supply Chain,Salaries,16976
09-12-2024,Sales,Salaries,52658
21-12-2024,Finance,Logistics,186758
05-02-2024,Sales,Logistics,112379
21-03-2024,Supply Chain,Salaries,12080
21-04-2024,Admin,Office Expenses,28348
26-08-2024,Sales,Advertising,176436
19-12-2024,Supply Chain,Advertising,81132
06-11-2024,Marketing,Advertising,98628
25-06-2024,Sales,Advertising,27281
26-04-2024,Sales,Advertising,66354
18-07-2024,Finance,Salaries,42782
12-03-2024,Sales,Salaries,149829
22-06-2024,Supply Chain,Office Expenses,47582
10-04-2024,Finance,Trade Promotion,50412
24-10-2024,Finance,Advertising,48462
22-03-2024,Sales,Office Expenses,4204
02-02-2024,Admin,Advertising,149228
08-02-2024,Marketing,Salaries,150509
29-10-2024,Admin,Salaries,154821
15-04-2024,Supply Chain,Advertising,4818
07-03-2024,Sales,Advertising,124301
04-11-2024,Sales,Office Expenses,101081
14-04-2024,Marketing,Salaries,124242
14-11-2024,Admin,Advertising,161306
21-05-2024,Admin,Office Expenses,14319
02-10-2024,Admin,Trade Promotion,114864
13-12-2024,Admin,Office Expenses,172397
02-05-2024,Finance,Office Expenses,14419
20-04-2024,Marketing,Advertising,188052
20-10-2024,Supply Chain,Trade Promotion,31817
14-06-2024,Admin,Logistics,191620
07-04-2024,Marketing,Trade Promotion,32058
30-05-2024,Marketing,Logistics,74370
07-07-2024,Sales,Office Expenses,9657
04-07-2024,Supply Chain,Trade Promotion,137132
14-10-2024,Supply Chain,Salaries,121953
19-03-2024,Supply Chain,Logistics,15085
08-08-2024,Finance,Trade Promotion,83265
21-04-2024,Admin,Advertising,126552
26-07-2024,Admin,Logistics,197761
13-02-2024,Admin,Logistics,109207
17-08-2024,Marketing,Logistics,172900
21-10-2024,Finance,Advertising,54927
13-02-2024,Supply Chain,Salaries,161200
09-03-2024,Sales,Salaries,28581
04-01-2024,Supply Chain,Office Expenses,21399
03-05-2024,Marketing,Office Expenses,146714
06-08-2024,Admin,Trade Promotion,142709
19-09-2024,Sales,Trade Promotion,160664
15-07-2024,Marketing,Trade Promotion,61817
20-12-2024,Sales,Advertising,120437
21-02-2024,Finance,Salaries,47331
10-06-2024,Sales,Advertising,45033
10-10-2024,Sales,Advertising,60649
05-01-2024,Marketing,Logistics,119215
22-05-2024,Sales,Office Expenses,58918
17-02-2024,Marketing,Office Expenses,59587
28-01-2024,Admin,Salaries,17001
05-12-2024,Marketing,Salaries,142952
28-01-2024,Admin,Logistics,148547
19-03-2024,Finance,Logistics,40572
31-07-2024,Supply Chain,Advertising,129917
15-11-2024,Admin,Logistics,61489
14-04-2024,Finance,Office Expenses,115127
27-01-2024,Admin,Trade Promotion,75682
10-01-2024,Sales,Trade Promotion,193125
26-09-2024,Supply Chain,Advertising,186195
23-06-2024,Finance,Advertising,10362
17-03-2024,Finance,Office Expenses,197629
29-06-2024,Sales,Advertising,112556
17-11-2024,Admin,Office Expenses,1021
25-10-2024,Finance,Salaries,28602
23-10-2024,Admin,Trade Promotion,21098
29-10-2024,Admin,Office Expenses,67001
14-02-2024,Sales,Logistics,79308
02-04-2024,Admin,Office Expenses,153846
05-03-2024,Supply Chain,Trade Promotion,109052
17-01-2024,Sales,Trade Promotion,159500
20-06-2024,Sales,Logistics,14158
26-02-2024,Marketing,Office Expenses,146176
01-09-2024,Supply Chain,Trade Promotion,148274
29-07-2024,Finance,Office Expenses,72217
15-10-2024,Admin,Advertising,126198
03-03-2024,Admin,Office Expenses,118570
07-09-2024,Sales,Trade Promotion,75525
29-06-2024,Admin,Logistics,82356
09-12-2024,Supply Chain,Advertising,25838
22-11-2024,Finance,Logistics,183066
29-06-2024,Admin,Logistics,189115
30-03-2024,Sales,Salaries,166455
26-07-2024,Supply Chain,Logistics,87984
14-01-2024,Finance,Office Expenses,33431
22-07-2024,Supply Chain,Trade Promotion,10566
27-10-2024,Supply Chain,Trade Promotion,1664
16-11-2024,Supply Chain,Office Expenses,187577
26-06-2024,Admin,Logistics,106921
02-02-2024,Supply Chain,Salaries,63865
20-11-2024,Admin,Salaries,142587
15-10-2024,Supply Chain,Office Expenses,45473
17-11-2024,Finance,Office Expenses,93300
15-10-2024,Sales,Trade Promotion,108986
06-09-2024,Admin,Office Expenses,57905
19-08-2024,Sales,Advertising,191901
20-05-2024,Finance,Logistics,85222
19-09-2024,Sales,Advertising,112851
04-02-2024,Supply Chain,Office Expenses,70463
01-10-2024,Finance,Logistics,139131
07-04-2024,Admin,Office Expenses,70525
10-06-2024,Finance,Salaries,47426
22-02-2024,Admin,Trade Promotion,82135
30-06-2024,Supply Chain,Office Expenses,87386
05-08-2024,Marketing,Advertising,193123
08-04-2024,Supply Chain,Trade Promotion,190288
09-07-2024,Supply Chain,Salaries,74019
06-08-2024,Sales,Salaries,42340
22-09-2024,Marketing,Salaries,120069
18-10-2024,Finance,Office Expenses,20299
12-04-2024,Marketing,Salaries,16074
16-11-2024,Supply Chain,Trade Promotion,129002
06-05-2024,Sales,Office Expenses,45375
09-06-2024,Marketing,Office Expenses,72023
11-03-2024,Finance,Logistics,175338
07-07-2024,Marketing,Trade Promotion,23291
09-08-2024,Admin,Office Expenses,15104
28-07-2024,Admin,Trade Promotion,68876
10-07-2024,Finance,Office Expenses,72952
06-07-2024,Marketing,Salaries,102146
24-04-2024,Sales,Logistics,80768
14-01-2024,Finance,Advertising,63495
29-07-2024,Supply Chain,Logistics,84011
09-03-2024,Supply Chain,Logistics,152104
23-09-2024,Finance,Trade Promotion,124327
17-07-2024,Supply Chain,Trade Promotion,156281
17-05-2024,Admin,Advertising,102672
25-05-2024,Sales,Trade Promotion,186548
25-12-2024,Sales,Salaries,166505
25-07-2024,Sales,Trade Promotion,53996
02-05-2024,Marketing,Advertising,128769
21-07-2024,Finance,Office Expenses,69120
22-03-2024,Supply Chain,Trade Promotion,27427
08-08-2024,Marketing,Logistics,174108
30-01-2024,Supply Chain,Logistics,89663
02-11-2024,Finance,Trade Promotion,98949
30-03-2024,Supply Chain,Salaries,86042
23-09-2024,Marketing,Logistics,108073
09-03-2024,Marketing,Salaries,113369
25-01-2024,Marketing,Advertising,184471
02-04-2024,Sales,Trade Promotion,160206
04-10-2024,Admin,Office Expenses,43910
21-06-2024,Marketing,Logistics,142445
04-08-2024,Admin,Office Expenses,6660
11-06-2024,Marketing,Logistics,74091
08-11-2024,Supply Chain,Salaries,49141
28-06-2024,Finance,Logistics,54748
24-02-2024,Marketing,Advertising,162551
10-07-2024,Sales,Salaries,95101
30-03-2024,Marketing,Office Expenses,52680
10-05-2024,Supply Chain,Salaries,47998
05-02-2024,Supply Chain,Logistics,84648
29-02-2024,Supply Chain,Advertising,170888
29-04-2024,Supply Chain,Advertising,94739
19-09-2024,Marketing,Advertising,33407
24-03-2024,Admin,Office Expenses,146562
25-08-2024,Supply Chain,Salaries,194247
28-12-2024,Supply Chain,Trade Promotion,155067
23-03-2024,Marketing,Office Expenses,63546
27-10-2024,Finance,Salaries,172155
09-02-2024,Sales,Advertising,58779
20-11-2024,Sales,Logistics,13725
14-10-2024,Sales,Logistics,139504
29-08-2024,Finance,Logistics,165286
23-08-2024,Marketing,Logistics,117508
15-05-2024,Finance,Trade Promotion,47929
08-04-2024,Supply Chain,Salaries,69686
13-05-2024,Marketing,Salaries,186769
03-03-2024,Marketing,Office Expenses,190754
13-02-2024,Sales,Logistics,154886
14-07-2024,Supply Chain,Office Expenses,132311
08-09-2024,Admin,Logistics,11575
16-10-2024,Marketing,Trade Promotion,12085
01-01-2024,Marketing,Trade Promotion,192076
01-04-2024,Marketing,Advertising,145751
24-04-2024,Admin,Logistics,121754
06-08-2024,Sales,Logistics,83296
31-07-2024,Supply Chain,Salaries,187981
04-08-2024,Admin,Trade Promotion,12800
03-08-2024,Marketing,Salaries,153554
28-01-2024,Sales,Office Expenses,32126
12-07-2024,Supply Chain,Salaries,183145
22-11-2024,Finance,Logistics,19809
26-11-2024,Sales,Salaries,149874
03-04-2024,Supply Chain,Advertising,183286
17-04-2024,Marketing,Salaries,80387
29-07-2024,Supply Chain,Advertising,154966
18-09-2024,Marketing,Logistics,66674
06-07-2024,Sales,Office Expenses,137272
17-06-2024,Finance,Trade Promotion,166927
20-03-2024,Sales,Advertising,55745
23-03-2024,Marketing,Trade Promotion,168519
22-05-2024,Admin,Office Expenses,152219
03-02-2024,Sales,Salaries,198779
14-01-2024,Finance,Office Expenses,191417
29-08-2024,Admin,Office Expenses,68967
11-04-2024,Admin,Logistics,89786
05-12-2024,Marketing,Advertising,177594
25-04-2024,Supply Chain,Office Expenses,18772
24-09-2024,Finance,Advertising,199641
06-02-2024,Marketing,Advertising,132308
13-08-2024,Finance,Office Expenses,82242
16-05-2024,Supply Chain,Trade Promotion,92599
01-05-2024,Marketing,Office Expenses,186304
06-02-2024,Sales,Logistics,55626
07-05-2024,Sales,Salaries,169332
24-12-2024,Admin,Salaries,177285
04-03-2024,Supply Chain,Logistics,72550
20-09-2024,Marketing,Office Expenses,183497
19-05-2024,Supply Chain,Office Expenses,194654
19-10-2024,Supply Chain,Office Expenses,161566
16-01-2024,Sales,Trade Promotion,27482
14-04-2024,Marketing,Salaries,29200
15-05-2024,Admin,Trade Promotion,186899
22-03-2024,Marketing,Advertising,57400
14-03-2024,Sales,Advertising,113758
23-01-2024,Admin,Logistics,48208
21-08-2024,Admin,Trade Promotion,149103
12-01-2024,Finance,Office Expenses,34583
07-08-2024,Marketing,Office Expenses,181272
03-09-2024,Finance,Trade Promotion,186652
30-08-2024,Sales,Office Expenses,27597
10-05-2024,Marketing,Office Expenses,155017
12-11-2024,Marketing,Trade Promotion,197247
04-02-2024,Marketing,Advertising,5879
08-05-2024,Finance,Trade Promotion,198884
21-12-2024,Supply Chain,Salaries,11980
09-08-2024,Supply Chain,Salaries,61295
26-04-2024,Supply Chain,Salaries,192330
20-07-2024,Finance,Logistics,111521
20-04-2024,Finance,Logistics,153466
11-09-2024,Admin,Advertising,163375
20-08-2024,Supply Chain,Trade Promotion,132608
26-09-2024,Finance,Advertising,159020
28-08-2024,Admin,Salaries,22579
03-08-2024,Sales,Salaries,59847
05-12-2024,Sales,Logistics,155223
24-03-2024,Finance,Salaries,111388
15-10-2024,Admin,Logistics,173625
29-04-2024,Admin,Advertising,191140
27-06-2024,Finance,Trade Promotion,126703
20-11-2024,Marketing,Trade Promotion,57019
27-03-2024,Sales,Trade Promotion,122359
16-01-2024,Sales,Trade Promotion,174121
23-10-2024,Marketing,Office Expenses,67516
31-03-2024,Sales,Advertising,146601
24-11-2024,Sales,Logistics,185343
14-01-2024,Sales,Advertising,139989
29-01-2024,Sales,Advertising,153489
21-05-2024,Supply Chain,Office Expenses,24035
16-12-2024,Finance,Office Expenses,39601
14-05-2024,Marketing,Trade Promotion,127506
21-09-2024,Sales,Trade Promotion,27135
29-11-2024,Supply Chain,Salaries,3350
04-12-2024,Finance,Salaries,88353
22-02-2024,Marketing,Office Expenses,161358
25-11-2024,Sales,Trade Promotion,37906
16-02-2024,Sales,Logistics,143707
16-02-2024,Sales,Office Expenses,32990
12-09-2024,Admin,Salaries,136690
05-10-2024,Supply Chain,Advertising,125237
07-06-2024,Finance,Logistics,21924
09-11-2024,Marketing,Logistics,152274
07-12-2024,Marketing,Office Expenses,113646
16-09-2024,Supply Chain,Salaries,102643
06-04-2024,Supply Chain,Logistics,134584
29-05-2024,Sales,Advertising,81908
03-07-2024,Marketing,Trade Promotion,105057
31-01-2024,Sales,Office Expenses,126489
22-07-2024,Supply Chain,Salaries,187010
06-04-2024,Supply Chain,Salaries,131774
05-11-2024,Supply Chain,Logistics,28641
03-05-2024,Finance,Office Expenses,14320
17-06-2024,Finance,Trade Promotion,131622
09-01-2024,Sales,Trade Promotion,120491
24-06-2024,Supply Chain,Salaries,82927
05-10-2024,Sales,Salaries,162234
15-10-2024,Sales,Trade Promotion,152030
04-11-2024,Finance,Advertising,31251
03-10-2024,Admin,Salaries,80637
15-11-2024,Finance,Office Expenses,96980
14-10-2024,Sales,Logistics,180841
10-07-2024,Finance,Salaries,61357
15-02-2024,Supply Chain,Advertising,28592
06-09-2024,Supply Chain,Logistics,99603
30-09-2024,Marketing,Advertising,101622
09-04-2024,Admin,Advertising,10380
01-06-2024,Finance,Logistics,177677
26-07-2024,Admin,Salaries,69081
11-12-2024,Marketing,Trade Promotion,191889
17-03-2024,Supply Chain,Logistics,63228
05-04-2024,Sales,Logistics,183803
18-11-2024,Finance,Trade Promotion,83280
28-04-2024,Supply Chain,Logistics,22575
29-08-2024,Marketing,Office Expenses,150290
16-08-2024,Sales,Salaries,71199
19-01-2024,Supply Chain,Trade Promotion,113604
18-03-2024,Supply Chain,Salaries,27587
21-01-2024,Supply Chain,Trade Promotion,11568
11-08-2024,Finance,Logistics,39280
19-02-2024,Finance,Logistics,142979
31-05-2024,Sales,Salaries,62989
01-03-2024,Finance,Advertising,145742
01-12-2024,Marketing,Office Expenses,31083
22-12-2024,Sales,Salaries,191034
12-03-2024,Supply Chain,Logistics,60872
11-11-2024,Marketing,Salaries,39455
14-12-2024,Supply Chain,Salaries,49683
26-02-2024,Sales,Logistics,190912
15-07-2024,Supply Chain,Advertising,19779
24-01-2024,Admin,Trade Promotion,185626
11-09-2024,Marketing,Advertising,57529
22-09-2024,Sales,Logistics,104235
15-07-2024,Sales,Salaries,68382
14-02-2024,Supply Chain,Office Expenses,142618
30-06-2024,Supply Chain,Trade Promotion,124619
23-08-2024,Marketing,Salaries,22831
23-04-2024,Finance,Advertising,107829
23-09-2024,Marketing,Trade Promotion,66216
12-08-2024,Admin,Office Expenses,190249
02-04-2024,Marketing,Advertising,42993
07-04-2024,Supply Chain,Trade Promotion,71284
17-11-2024,Finance,Salaries,99292
24-08-2024,Finance,Office Expenses,90798
06-11-2024,Marketing,Salaries,49230
17-02-2024,Admin,Logistics,68156
30-10-2024,Marketing,Office Expenses,144200
17-06-2024,Sales,Trade Promotion,9718
27-02-2024,Finance,Logistics,159768
31-07-2024,Sales,Logistics,118589
12-03-2024,Admin,Salaries,140447
04-11-2024,Admin,Trade Promotion,64287
18-04-2024,Supply Chain,Advertising,181059
15-03-2024,Marketing,Logistics,88123
11-11-2024,Marketing,Office Expenses,195248
18-03-2024,Marketing,Office Expenses,166976
09-03-2024,Sales,Advertising,112890
19-02-2024,Admin,Logistics,148116
21-04-2024,Admin,Advertising,3802
07-10-2024,Sales,Office Expenses,93294
26-01-2024,Marketing,Office Expenses,64419
07-02-2024,Marketing,Trade Promotion,35857
13-02-2024,Sales,Logistics,62217
27-10-2024,Supply Chain,Salaries,38952
19-12-2024,Supply Chain,Office Expenses,156694
17-01-2024,Marketing,Salaries,59882
22-02-2024,Marketing,Trade Promotion,116189
12-06-2024,Sales,Logistics,10633
12-08-2024,Finance,Advertising,2504
04-04-2024,Admin,Logistics,125027
18-01-2024,Marketing,Office Expenses,149451
24-09-2024,Marketing,Salaries,136178
11-09-2024,Finance,Salaries,130050
08-10-2024,Supply Chain,Advertising,173100
17-06-2024,Admin,Salaries,68496
17-12-2024,Finance,Logistics,67999
28-04-2024,Sales,Logistics,171857
12-05-2024,Supply Chain,Logistics,87926
14-07-2024,Admin,Logistics,89584
13-06-2024,Supply Chain,Advertising,148589
08-09-2024,Finance,Salaries,30822
16-02-2024,Admin,Advertising,128314
22-01-2024,Marketing,Salaries,19910
30-03-2024,Sales,Office Expenses,39369
29-01-2024,Supply Chain,Logistics,83533
24-08-2024,Sales,Advertising,133379
26-05-2024,Supply Chain,Logistics,58651
15-09-2024,Supply Chain,Salaries,182694
09-02-2024,Supply Chain,Salaries,121732
24-07-2024,Sales,Logistics,52881
16-02-2024,Marketing,Office Expenses,85626
25-12-2024,Supply Chain,Advertising,99436
06-07-2024,Finance,Office Expenses,112162
24-08-2024,Finance,Salaries,103054
07-09-2024,Sales,Office Expenses,126442
08-12-2024,Sales,Advertising,194320
10-07-2024,Finance,Trade Promotion,160441
13-01-2024,Marketing,Trade Promotion,84910
26-03-2024,Marketing,Trade Promotion,132838
10-09-2024,Admin,Logistics,161340
23-09-2024,Supply Chain,Salaries,112653
25-07-2024,Finance,Logistics,166220
14-12-2024,Sales,Trade Promotion,138881
30-11-2024,Finance,Advertising,35849
07-10-2024,Finance,Salaries,78014
25-03-2024,Sales,Logistics,52219
24-02-2024,Finance,Office Expenses,97893
13-03-2024,Marketing,Office Expenses,151871
28-08-2024,Supply Chain,Advertising,182348
28-01-2024,Marketing,Logistics,158698
08-12-2024,Finance,Salaries,136105
03-04-2024,Marketing,Trade Promotion,108578
10-12-2024,Admin,Trade Promotion,155013
22-06-2024,Finance,Salaries,122697
24-12-2024,Admin,Advertising,84506
24-01-2024,Marketing,Office Expenses,157665
08-08-2024,Sales,Advertising,4586
10-12-2024,Supply Chain,Advertising,174506
19-01-2024,Sales,Salaries,107258
09-06-2024,Admin,Logistics,190708
22-02-2024,Sales,Logistics,94976
13-04-2024,Admin,Trade Promotion,88445
08-12-2024,Sales,Office Expenses,6971
01-07-2024,Supply Chain,Office Expenses,11778
21-02-2024,Finance,Trade Promotion,76586
18-08-2024,Supply Chain,Office Expenses,199650
08-04-2024,Marketing,Office Expenses,123834
07-08-2024,Marketing,Logistics,168924
21-04-2024,Sales,Office Expenses,180852
22-12-2024,Supply Chain,Trade Promotion,89959
07-03-2024,Marketing,Salaries,151336
29-08-2024,Finance,Advertising,113704
24-09-2024,Sales,Advertising,22749
02-05-2024,Admin,Trade Promotion,26980
07-09-2024,Sales,Salaries,21337
16-10-2024,Supply Chain,Advertising,143229
12-07-2024,Supply Chain,Trade Promotion,168992
21-01-2024,Finance,Salaries,28672
15-03-2024,Sales,Advertising,199953
02-02-2024,Sales,Trade Promotion,110717
13-01-2024,Supply Chain,Trade Promotion,42097
25-10-2024,Sales,Office Expenses,148603
25-07-2024,Marketing,Advertising,182368
24-09-2024,Marketing,Logistics,35124
23-01-2024,Sales,Logistics,192265
03-12-2024,Marketing,Trade Promotion,37280
23-08-2024,Supply Chain,Salaries,169883
06-05-2024,Admin,Salaries,139010
08-08-2024,Sales,Trade Promotion,52654
29-02-2024,Finance,Office Expenses,91421
22-04-2024,Sales,Trade Promotion,173761
20-01-2024,Supply Chain,Logistics,17528
05-11-2024,Finance,Office Expenses,144280
11-04-2024,Finance,Salaries,30716
15-08-2024,Admin,Logistics,49280
24-10-2024,Sales,Salaries,90752
25-10-2024,Sales,Salaries,78469
09-08-2024,Finance,Logistics,140899
22-02-2024,Marketing,Logistics,192926
22-09-2024,Sales,Salaries,127505
23-08-2024,Sales,Advertising,31127
12-07-2024,Marketing,Office Expenses,152981
06-10-2024,Admin,Advertising,114807
10-03-2024,Sales,Advertising,35767
11-08-2024,Supply Chain,Advertising,174275
10-05-2024,Marketing,Salaries,136514
29-04-2024,Sales,Advertising,133930
16-03-2024,Marketing,Salaries,56747
08-10-2024,Marketing,Office Expenses,80199
22-07-2024,Admin,Trade Promotion,1910
10-06-2024,Admin,Salaries,47462
15-04-2024,Finance,Salaries,189548
19-07-2024,Sales,Advertising,130326
18-07-2024,Admin,Advertising,2769
04-10-2024,Sales,Logistics,186170
05-07-2024,Finance,Salaries,94715
19-07-2024,Admin,Salaries,5626
11-04-2024,Admin,Salaries,29590
09-12-2024,Finance,Trade Promotion,34334
22-07-2024,Supply Chain,Logistics,137502
16-03-2024,Supply Chain,Advertising,19372
04-11-2024,Finance,Logistics,108199
15-02-2024,Supply Chain,Trade Promotion,198470
01-07-2024,Supply Chain,Trade Promotion,194098
25-05-2024,Supply Chain,Advertising,11408
29-09-2024,Supply Chain,Salaries,138205
13-06-2024,Marketing,Salaries,13301
31-01-2024,Marketing,Advertising,51053
21-09-2024,Admin,Advertising,107684
12-04-2024,Sales,Advertising,186375
11-08-2024,Marketing,Salaries,88084
19-01-2024,Sales,Office Expenses,59402
04-11-2024,Finance,Advertising,40301
18-06-2024,Finance,Trade Promotion,175309
15-09-2024,Finance,Salaries,171532
03-08-2024,Sales,Logistics,198231
05-02-2024,Finance,Advertising,185581
11-12-2024,Admin,Advertising,31608
30-07-2024,Sales,Logistics,21736
29-11-2024,Admin,Logistics,197130
17-12-2024,Admin,Trade Promotion,69919
06-02-2024,Supply Chain,Salaries,169082
16-08-2024,Admin,Salaries,108938
15-03-2024,Marketing,Salaries,69024
10-03-2024,Admin,Trade Promotion,38273
13-06-2024,Finance,Trade Promotion,129692
02-12-2024,Supply Chain,Office Expenses,71962
12-11-2024,Sales,Advertising,106380
14-08-2024,Admin,Logistics,140961
09-07-2024,Supply Chain,Logistics,2723
23-08-2024,Admin,Logistics,74330
12-07-2024,Admin,Trade Promotion,188200
23-04-2024,Finance,Advertising,74652
23-01-2024,Marketing,Trade Promotion,30115
20-05-2024,Supply Chain,Office Expenses,112129
11-09-2024,Supply Chain,Logistics,95247
10-10-2024,Admin,Salaries,20745
23-05-2024,Supply Chain,Advertising,163725
13-01-2024,Sales,Office Expenses,99344
31-05-2024,Sales,Salaries,196704
19-11-2024,Admin,Salaries,60276
05-04-2024,Supply Chain,Advertising,87400
22-06-2024,Admin,Logistics,84278
02-11-2024,Sales,Advertising,162153
27-10-2024,Supply Chain,Salaries,61230
26-01-2024,Marketing,Salaries,124698
19-03-2024,Admin,Advertising,152961
20-03-2024,Sales,Logistics,96654
01-01-2024,Sales,Salaries,21376
28-01-2024,Marketing,Advertising,134897
02-12-2024,Admin,Salaries,140849
16-01-2024,Finance,Trade Promotion,189965
10-08-2024,Finance,Trade Promotion,71237
22-12-2024,Sales,Logistics,179159
19-04-2024,Finance,Advertising,102666
14-07-2024,Sales,Salaries,174363
12-02-2024,Finance,Advertising,167810
24-01-2024,Sales,Salaries,194607
09-10-2024,Supply Chain,Office Expenses,88880
11-06-2024,Marketing,Trade Promotion,125150
24-04-2024,Sales,Advertising,181809
16-10-2024,Finance,Logistics,77785
26-02-2024,Admin,Logistics,188412
25-03-2024,Finance,Salaries,191255
21-06-2024,Marketing,Trade Promotion,132294
25-09-2024,Finance,Office Expenses,28073
19-07-2024,Finance,Salaries,106143
17-07-2024,Admin,Trade Promotion,171002
26-10-2024,Sales,Logistics,37432
29-01-2024,Supply Chain,Advertising,16747
30-05-2024,Admin,Logistics,8496
08-07-2024,Marketing,Office Expenses,12282
22-03-2024,Admin,Salaries,86121
28-03-2024,Sales,Logistics,117417
08-07-2024,Marketing,Advertising,161241
06-10-2024,Supply Chain,Logistics,67046
06-12-2024,Supply Chain,Office Expenses,187894
09-09-2024,Finance,Trade Promotion,133403
09-06-2024,Finance,Advertising,118244
22-09-2024,Marketing,Salaries,177120
14-04-2024,Supply Chain,Salaries,164630
06-05-2024,Sales,Logistics,186728
21-01-2024,Marketing,Trade Promotion,105708
12-10-2024,Finance,Logistics,63114
09-04-2024,Finance,Salaries,46016
09-06-2024,Finance,Advertising,182869
28-06-2024,Admin,Logistics,137543
05-01-2024,Supply Chain,Office Expenses,88371
04-03-2024,Admin,Office Expenses,84836
13-05-2024,Marketing,Trade Promotion,33165
13-06-2024,Admin,Trade Promotion,55492
27-11-2024,Supply Chain,Trade Promotion,68347
24-09-2024,Marketing,Office Expenses,166233
09-11-2024,Supply Chain,Advertising,154192
25-09-2024,Supply Chain,Advertising,67863
17-09-2024,Sales,Salaries,160426
03-04-2024,Sales,Advertising,32020
08-03-2024,Sales,Office Expenses,15570
07-12-2024,Finance,Trade Promotion,140057
12-06-2024,Admin,Salaries,98112
12-12-2024,Sales,Office Expenses,130769
29-11-2024,Marketing,Trade Promotion,133938
04-12-2024,Finance,Office Expenses,72773
05-05-2024,Sales,Office Expenses,178564
22-04-2024,Admin,Office Expenses,45999
12-08-2024,Finance,Salaries,65201
19-07-2024,Finance,Office Expenses,96311
20-03-2024,Marketing,Office Expenses,80339
01-03-2024,Supply Chain,Logistics,45601
08-12-2024,Marketing,Logistics,136771
07-02-2024,Admin,Trade Promotion,26802
28-08-2024,Admin,Office Expenses,42001
04-03-2024,Admin,Office Expenses,179235
19-04-2024,Finance,Office Expenses,56359
19-02-2024,Admin,Office Expenses,106002
18-10-2024,Marketing,Office Expenses,127120
18-09-2024,Finance,Logistics,169823
29-06-2024,Marketing,Trade Promotion,13605
10-11-2024,Sales,Trade Promotion,103565
06-11-2024,Sales,Logistics,161848
20-03-2024,Sales,Logistics,99535
31-05-2024,Marketing,Logistics,103234
31-05-2024,Supply Chain,Office Expenses,105133
10-01-2024,Marketing,Office Expenses,1433
17-03-2024,Sales,Advertising,130391
17-05-2024,Supply Chain,Logistics,183135
27-02-2024,Finance,Salaries,31115
17-09-2024,Admin,Salaries,135300
25-06-2024,Supply Chain,Office Expenses,64367
07-05-2024,Sales,Trade Promotion,58126
26-05-2024,Supply Chain,Salaries,9519
21-03-2024,Admin,Advertising,1081
05-04-2024,Finance,Advertising,77943
25-04-2024,Marketing,Trade Promotion,105954
02-05-2024,Supply Chain,Office Expenses,103486
23-12-2024,Sales,Trade Promotion,192399
01-01-2024,Admin,Salaries,87669
21-07-2024,Supply Chain,Advertising,190714
02-12-2024,Supply Chain,Office Expenses,52910
29-05-2024,Supply Chain,Advertising,64846
17-04-2024,Sales,Trade Promotion,89994
05-10-2024,Supply Chain,Logistics,92236
28-07-2024,Supply Chain,Advertising,143639
27-01-2024,Finance,Salaries,162464
30-09-2024,Sales,Office Expenses,156717
30-06-2024,Supply Chain,Trade Promotion,34450
24-05-2024,Admin,Advertising,120220
11-12-2024,Marketing,Advertising,106155
06-06-2024,Marketing,Advertising,120178
22-02-2024,Finance,Logistics,122879
21-03-2024,Sales,Salaries,122224
03-04-2024,Admin,Advertising,66853
06-06-2024,Sales,Trade Promotion,4141
26-01-2024,Marketing,Office Expenses,89692
21-01-2024,Admin,Salaries,19380
07-11-2024,Marketing,Logistics,52043
20-09-2024,Marketing,Office Expenses,173487
05-06-2024,Sales,Logistics,94918
08-06-2024,Supply Chain,Salaries,38047
07-11-2024,Finance,Advertising,70074
01-09-2024,Admin,Salaries,194428
18-12-2024,Finance,Office Expenses,104361
08-03-2024,Admin,Trade Promotion,138303
18-05-2024,Marketing,Advertising,77405
01-04-2024,Admin,Advertising,95299
13-06-2024,Admin,Salaries,91971
15-05-2024,Sales,Office Expenses,117153
09-05-2024,Finance,Salaries,48753
06-01-2024,Finance,Trade Promotion,133921
08-06-2024,Admin,Office Expenses,97480
21-12-2024,Supply Chain,Salaries,108443
28-12-2024,Supply Chain,Trade Promotion,187393
22-12-2024,Finance,Trade Promotion,159691
20-12-2024,Admin,Salaries,199308
29-03-2024,Finance,Logistics,83671
29-02-2024,Sales,Office Expenses,92419
