Invoice_Number,Customer,Invoice_Date,Due_Date,Invoice_Amount,Payment_Status
INV103292,Agarwal Stores,08-12-2024,23-12-2024,24738,Partially Paid
INV103293,Gupta Retailers,06-06-2024,05-08-2024,46610,Paid
INV103294,Sharma Distributors,02-08-2024,01-10-2024,9048,Paid
INV103295,Singh Enterprises,25-06-2024,09-08-2024,49304,Paid
INV103296,Sharma Distributors,23-06-2024,07-08-2024,25236,Paid
INV103297,Gupta Retailers,05-12-2024,20-12-2024,31868,Unpaid
INV103298,Gupta Retailers,03-12-2024,02-01-2025,26998,Unpaid
INV103299,Gupta Retailers,25-05-2024,24-06-2024,42980,Paid
INV103300,Verma Traders,19-11-2024,03-01-2025,31488,Paid
INV103301,Singh Enterprises,09-06-2024,24-06-2024,22415,Paid
INV103302,Singh Enterprises,06-05-2024,21-05-2024,17447,Paid
INV103303,Singh Enterprises,22-03-2024,21-04-2024,4491,Paid
INV103304,Verma Traders,26-05-2024,10-06-2024,16893,Paid
INV103305,Gupta Retailers,26-08-2024,25-10-2024,9218,Unpaid
INV103306,Gupta Retailers,24-03-2024,08-05-2024,31581,Unpaid
INV103307,Sharma Distributors,22-04-2024,21-06-2024,9368,Unpaid
INV103308,Verma Traders,12-08-2024,27-08-2024,21806,Paid
INV103309,Agarwal Stores,27-11-2024,26-01-2025,49591,Unpaid
INV103310,Verma Traders,30-08-2024,29-10-2024,11819,Unpaid
INV103311,Sharma Distributors,22-05-2024,06-07-2024,987,Unpaid
INV103312,Sharma Distributors,10-02-2024,25-02-2024,8977,Unpaid
INV103313,Sharma Distributors,14-09-2024,29-10-2024,26343,Paid
INV103314,Gupta Retailers,11-10-2024,26-10-2024,24115,Paid
INV103315,Agarwal Stores,14-04-2024,29-04-2024,25910,Unpaid
INV103316,Sharma Distributors,20-07-2024,03-09-2024,42759,Unpaid
INV103317,Singh Enterprises,02-11-2024,17-11-2024,32489,Unpaid
INV103318,Gupta Retailers,26-11-2024,10-01-2025,1622,Unpaid
INV103319,Agarwal Stores,22-09-2024,22-10-2024,20465,Unpaid
INV103320,Singh Enterprises,28-07-2024,12-08-2024,7523,Paid
INV103321,Agarwal Stores,20-02-2024,20-04-2024,36479,Paid
INV103322,Agarwal Stores,27-04-2024,27-05-2024,2656,Partially Paid
INV103323,Singh Enterprises,19-07-2024,02-09-2024,37059,Unpaid
INV103324,Verma Traders,08-02-2024,08-04-2024,38611,Unpaid
INV103325,Agarwal Stores,28-01-2024,28-03-2024,43558,Partially Paid
INV103326,Verma Traders,15-09-2024,30-09-2024,10068,Partially Paid
INV103327,Agarwal Stores,24-03-2024,08-05-2024,43587,Unpaid
INV103328,Singh Enterprises,03-06-2024,18-06-2024,47120,Paid
INV103329,Agarwal Stores,26-04-2024,26-05-2024,33614,Paid
INV103330,Sharma Distributors,02-01-2024,02-03-2024,31270,Paid
INV103331,Sharma Distributors,02-04-2024,01-06-2024,29771,Unpaid
INV103332,Agarwal Stores,14-06-2024,29-06-2024,21875,Paid
INV103333,Singh Enterprises,15-12-2024,13-02-2025,48786,Paid
INV103334,Singh Enterprises,22-10-2024,21-11-2024,5728,Unpaid
INV103335,Gupta Retailers,14-09-2024,29-09-2024,17337,Unpaid
INV103336,Singh Enterprises,21-03-2024,20-04-2024,42769,Unpaid
INV103337,Verma Traders,24-09-2024,23-11-2024,8781,Paid
INV103338,Agarwal Stores,22-08-2024,06-10-2024,26395,Paid
INV103339,Sharma Distributors,16-11-2024,15-01-2025,35771,Unpaid
INV103340,Singh Enterprises,06-11-2024,21-12-2024,36270,Partially Paid
INV103341,Sharma Distributors,27-10-2024,11-12-2024,1662,Paid
INV103342,Gupta Retailers,22-12-2024,06-01-2025,38902,Unpaid
INV103343,Agarwal Stores,31-07-2024,15-08-2024,18807,Paid
INV103344,Singh Enterprises,02-03-2024,17-03-2024,2288,Paid
INV103345,Sharma Distributors,18-02-2024,04-03-2024,46804,Unpaid
INV103346,Singh Enterprises,06-05-2024,05-07-2024,6392,Paid
INV103347,Gupta Retailers,10-08-2024,24-09-2024,46229,Paid
INV103348,Sharma Distributors,05-10-2024,19-11-2024,14465,Paid
INV103349,Sharma Distributors,20-10-2024,04-12-2024,38784,Paid
INV103350,Agarwal Stores,10-10-2024,09-11-2024,41904,Paid
INV103351,Agarwal Stores,03-10-2024,17-11-2024,4392,Partially Paid
INV103352,Sharma Distributors,16-04-2024,16-05-2024,39633,Partially Paid
INV103353,Agarwal Stores,25-05-2024,24-06-2024,46770,Paid
INV103354,Sharma Distributors,08-04-2024,23-04-2024,33243,Partially Paid
INV103355,Verma Traders,13-03-2024,12-04-2024,10686,Paid
INV103356,Singh Enterprises,01-05-2024,30-06-2024,6140,Paid
INV103357,Verma Traders,30-01-2024,14-02-2024,27826,Unpaid
INV103358,Verma Traders,06-07-2024,04-09-2024,6955,Unpaid
INV103359,Singh Enterprises,29-12-2024,28-01-2025,4928,Partially Paid
INV103360,Sharma Distributors,19-12-2024,02-02-2025,34624,Unpaid
INV103361,Sharma Distributors,14-10-2024,13-12-2024,20947,Paid
INV103362,Agarwal Stores,13-07-2024,12-08-2024,28531,Paid
INV103363,Gupta Retailers,04-06-2024,19-06-2024,49342,Paid
INV103364,Sharma Distributors,20-06-2024,19-08-2024,25586,Paid
INV103365,Singh Enterprises,30-11-2024,30-12-2024,48740,Unpaid
INV103366,Gupta Retailers,10-02-2024,10-04-2024,3060,Paid
INV103367,Singh Enterprises,03-03-2024,18-03-2024,38451,Unpaid
INV103368,Singh Enterprises,23-01-2024,23-03-2024,24271,Paid
INV103369,Singh Enterprises,25-12-2024,09-01-2025,19515,Unpaid
INV103370,Gupta Retailers,15-03-2024,29-04-2024,36866,Unpaid
INV103371,Verma Traders,17-02-2024,02-04-2024,43913,Unpaid
INV103372,Singh Enterprises,08-06-2024,08-07-2024,36743,Paid
INV103373,Agarwal Stores,08-11-2024,08-12-2024,37152,Paid
INV103374,Sharma Distributors,27-04-2024,26-06-2024,11852,Unpaid
INV103375,Sharma Distributors,09-04-2024,08-06-2024,4163,Paid
INV103376,Sharma Distributors,15-06-2024,14-08-2024,47771,Unpaid
INV103377,Gupta Retailers,16-10-2024,15-11-2024,39841,Unpaid
INV103378,Agarwal Stores,04-06-2024,19-06-2024,28750,Partially Paid
INV103379,Agarwal Stores,07-01-2024,21-02-2024,47440,Paid
INV103380,Agarwal Stores,14-07-2024,29-07-2024,20863,Paid
INV103381,Agarwal Stores,25-02-2024,10-04-2024,24743,Paid
INV103382,Agarwal Stores,16-11-2024,15-01-2025,30970,Paid
INV103383,Verma Traders,11-07-2024,09-09-2024,4811,Unpaid
INV103384,Agarwal Stores,16-02-2024,17-03-2024,8056,Partially Paid
INV103385,Agarwal Stores,27-05-2024,11-07-2024,22562,Paid
INV103386,Gupta Retailers,01-10-2024,31-10-2024,11604,Paid
INV103387,Gupta Retailers,05-06-2024,20-07-2024,24217,Unpaid
INV103388,Agarwal Stores,20-07-2024,19-08-2024,32091,Paid
INV103389,Verma Traders,05-05-2024,04-07-2024,37150,Partially Paid
INV103390,Agarwal Stores,31-10-2024,15-12-2024,2233,Paid
INV103391,Agarwal Stores,20-10-2024,19-11-2024,39547,Paid
INV103392,Agarwal Stores,04-03-2024,19-03-2024,33097,Unpaid
INV103393,Singh Enterprises,20-11-2024,20-12-2024,5285,Paid
INV103394,Verma Traders,24-06-2024,24-07-2024,46441,Paid
INV103395,Sharma Distributors,25-04-2024,09-06-2024,25665,Paid
INV103396,Agarwal Stores,22-07-2024,06-08-2024,20860,Unpaid
INV103397,Sharma Distributors,16-11-2024,15-01-2025,22144,Paid
INV103398,Verma Traders,31-01-2024,01-03-2024,28243,Paid
INV103399,Agarwal Stores,22-04-2024,21-06-2024,48449,Unpaid
INV103400,Sharma Distributors,30-12-2024,13-02-2025,47766,Paid
INV103401,Sharma Distributors,20-11-2024,20-12-2024,23052,Unpaid
INV103402,Verma Traders,09-12-2024,08-01-2025,27568,Paid
INV103403,Agarwal Stores,07-03-2024,22-03-2024,37394,Paid
INV103404,Singh Enterprises,15-03-2024,29-04-2024,30954,Paid
INV103405,Verma Traders,14-02-2024,29-02-2024,29732,Unpaid
INV103406,Singh Enterprises,16-09-2024,16-10-2024,33950,Paid
INV103407,Agarwal Stores,02-06-2024,17-07-2024,11040,Unpaid
INV103408,Sharma Distributors,03-06-2024,18-07-2024,48231,Unpaid
INV103409,Verma Traders,28-12-2024,12-01-2025,10951,Unpaid
INV103410,Verma Traders,21-08-2024,05-10-2024,5626,Unpaid
INV103411,Verma Traders,20-02-2024,21-03-2024,24552,Paid
INV103412,Gupta Retailers,01-11-2024,01-12-2024,1725,Paid
INV103413,Agarwal Stores,18-09-2024,18-10-2024,38009,Unpaid
INV103414,Gupta Retailers,10-11-2024,09-01-2025,1740,Unpaid
INV103415,Verma Traders,04-05-2024,03-07-2024,45349,Paid
INV103416,Verma Traders,01-09-2024,01-10-2024,25529,Paid
INV103417,Singh Enterprises,30-01-2024,15-03-2024,23328,Paid
INV103418,Gupta Retailers,01-05-2024,15-06-2024,48297,Paid
INV103419,Sharma Distributors,04-05-2024,03-07-2024,11375,Unpaid
INV103420,Agarwal Stores,06-02-2024,21-02-2024,26244,Partially Paid
INV103421,Sharma Distributors,18-06-2024,17-08-2024,41289,Paid
INV103422,Sharma Distributors,03-05-2024,17-06-2024,29514,Paid
INV103423,Agarwal Stores,22-12-2024,20-02-2025,48016,Paid
INV103424,Verma Traders,04-02-2024,05-03-2024,17587,Paid
INV103425,Singh Enterprises,27-03-2024,11-04-2024,8122,Paid
INV103426,Verma Traders,13-05-2024,27-06-2024,44118,Partially Paid
INV103427,Verma Traders,14-07-2024,12-09-2024,25707,Paid
INV103428,Gupta Retailers,30-09-2024,15-10-2024,7514,Paid
INV103429,Sharma Distributors,19-07-2024,18-08-2024,38791,Paid
INV103430,Sharma Distributors,11-10-2024,10-11-2024,48397,Unpaid
INV103431,Sharma Distributors,17-03-2024,16-05-2024,31696,Paid
INV103432,Singh Enterprises,28-02-2024,14-03-2024,41842,Unpaid
INV103433,Singh Enterprises,05-05-2024,04-06-2024,38549,Paid
INV103434,Singh Enterprises,18-04-2024,17-06-2024,25592,Unpaid
INV103435,Agarwal Stores,11-08-2024,25-09-2024,35705,Unpaid
INV103436,Singh Enterprises,04-10-2024,18-11-2024,39891,Paid
INV103437,Gupta Retailers,08-03-2024,22-04-2024,35998,Unpaid
INV103438,Gupta Retailers,09-03-2024,08-04-2024,6420,Paid
INV103439,Verma Traders,13-06-2024,28-07-2024,30406,Partially Paid
INV103440,Verma Traders,31-10-2024,15-12-2024,10588,Unpaid
INV103441,Verma Traders,10-06-2024,10-07-2024,34437,Paid
INV103442,Verma Traders,30-12-2024,28-02-2025,3482,Partially Paid
INV103443,Gupta Retailers,07-12-2024,06-01-2025,45461,Paid
INV103444,Verma Traders,04-11-2024,19-12-2024,34450,Paid
INV103445,Gupta Retailers,08-12-2024,22-01-2025,41540,Unpaid
INV103446,Singh Enterprises,11-02-2024,26-02-2024,5960,Paid
INV103447,Singh Enterprises,19-12-2024,18-01-2025,19273,Unpaid
INV103448,Agarwal Stores,18-04-2024,02-06-2024,6921,Paid
INV103449,Verma Traders,20-02-2024,20-04-2024,20042,Paid
INV103450,Singh Enterprises,06-09-2024,21-09-2024,41551,Unpaid
INV103451,Singh Enterprises,06-12-2024,20-01-2025,49842,Unpaid
INV103452,Sharma Distributors,21-01-2024,20-02-2024,49073,Paid
INV103453,Sharma Distributors,26-10-2024,10-12-2024,14067,Paid
INV103454,Gupta Retailers,18-05-2024,17-06-2024,20513,Unpaid
INV103455,Agarwal Stores,24-12-2024,23-01-2025,40145,Paid
INV103456,Sharma Distributors,19-11-2024,04-12-2024,43680,Paid
INV103457,Agarwal Stores,01-04-2024,31-05-2024,16703,Paid
INV103458,Singh Enterprises,06-10-2024,05-12-2024,17888,Paid
INV103459,Gupta Retailers,04-05-2024,19-05-2024,33731,Paid
INV103460,Agarwal Stores,20-04-2024,04-06-2024,23496,Paid
INV103461,Sharma Distributors,19-12-2024,03-01-2025,10240,Unpaid
INV103462,Singh Enterprises,18-05-2024,17-07-2024,10210,Unpaid
INV103463,Verma Traders,29-09-2024,14-10-2024,46519,Paid
INV103464,Singh Enterprises,08-04-2024,23-05-2024,41240,Partially Paid
INV103465,Sharma Distributors,08-09-2024,08-10-2024,2129,Partially Paid
INV103466,Sharma Distributors,03-12-2024,17-01-2025,11725,Partially Paid
INV103467,Verma Traders,13-04-2024,13-05-2024,26241,Paid
INV103468,Singh Enterprises,01-08-2024,15-09-2024,13080,Unpaid
INV103469,Agarwal Stores,05-09-2024,05-10-2024,22476,Paid
INV103470,Agarwal Stores,31-05-2024,15-07-2024,41806,Paid
INV103471,Singh Enterprises,06-09-2024,21-09-2024,22273,Unpaid
INV103472,Agarwal Stores,01-10-2024,16-10-2024,33717,Paid
INV103473,Singh Enterprises,13-06-2024,28-06-2024,42165,Paid
INV103474,Singh Enterprises,06-12-2024,05-01-2025,44405,Paid
INV103475,Sharma Distributors,08-01-2024,07-02-2024,20211,Paid
INV103476,Gupta Retailers,10-10-2024,09-12-2024,30888,Unpaid
INV103477,Sharma Distributors,05-01-2024,04-02-2024,24652,Unpaid
INV103478,Agarwal Stores,24-05-2024,23-06-2024,27296,Paid
INV103479,Gupta Retailers,10-04-2024,09-06-2024,22808,Paid
INV103480,Singh Enterprises,12-06-2024,11-08-2024,48782,Paid
INV103481,Agarwal Stores,26-05-2024,10-07-2024,3751,Paid
INV103482,Verma Traders,04-03-2024,03-05-2024,24034,Partially Paid
INV103483,Agarwal Stores,31-03-2024,30-05-2024,19785,Partially Paid
INV103484,Gupta Retailers,26-04-2024,26-05-2024,29810,Unpaid
INV103485,Gupta Retailers,19-12-2024,03-01-2025,16231,Paid
INV103486,Singh Enterprises,23-09-2024,23-10-2024,24109,Paid
INV103487,Verma Traders,05-11-2024,05-12-2024,21626,Partially Paid
INV103488,Singh Enterprises,21-06-2024,05-08-2024,26240,Paid
INV103489,Verma Traders,16-02-2024,17-03-2024,23075,Paid
INV103490,Verma Traders,19-05-2024,18-07-2024,29030,Unpaid
INV103491,Singh Enterprises,02-09-2024,01-11-2024,11407,Paid
INV103492,Agarwal Stores,28-05-2024,27-06-2024,37792,Paid
INV103493,Sharma Distributors,02-09-2024,01-11-2024,20651,Paid
INV103494,Verma Traders,05-01-2024,20-01-2024,4047,Unpaid
INV103495,Gupta Retailers,02-07-2024,31-08-2024,23243,Paid
INV103496,Singh Enterprises,20-01-2024,20-03-2024,48278,Paid
INV103497,Agarwal Stores,15-02-2024,01-03-2024,22128,Paid
INV103498,Verma Traders,12-01-2024,27-01-2024,21490,Paid
INV103499,Agarwal Stores,10-03-2024,25-03-2024,41300,Unpaid
INV103500,Singh Enterprises,17-01-2024,02-03-2024,23960,Paid
INV103501,Gupta Retailers,26-05-2024,25-07-2024,5756,Paid
INV103502,Verma Traders,02-06-2024,01-08-2024,21861,Paid
INV103503,Verma Traders,30-10-2024,29-12-2024,29046,Paid
INV103504,Agarwal Stores,17-04-2024,02-05-2024,24167,Paid
INV103505,Singh Enterprises,23-08-2024,07-10-2024,5749,Paid
INV103506,Sharma Distributors,03-11-2024,02-01-2025,23469,Paid
INV103507,Verma Traders,17-12-2024,31-01-2025,25353,Paid
INV103508,Gupta Retailers,10-03-2024,09-04-2024,21489,Paid
INV103509,Verma Traders,01-07-2024,15-08-2024,21464,Unpaid
INV103510,Verma Traders,06-09-2024,06-10-2024,37643,Partially Paid
INV103511,Sharma Distributors,15-08-2024,14-10-2024,40641,Partially Paid
INV103512,Sharma Distributors,11-04-2024,26-04-2024,7380,Unpaid
INV103513,Singh Enterprises,15-03-2024,29-04-2024,1412,Unpaid
INV103514,Verma Traders,03-08-2024,02-10-2024,45229,Paid
INV103515,Verma Traders,21-07-2024,04-09-2024,15021,Unpaid
INV103516,Agarwal Stores,10-07-2024,09-08-2024,40840,Unpaid
INV103517,Agarwal Stores,05-09-2024,04-11-2024,36672,Partially Paid
INV103518,Gupta Retailers,29-08-2024,28-09-2024,41650,Unpaid
INV103519,Gupta Retailers,27-06-2024,26-08-2024,42854,Unpaid
INV103520,Agarwal Stores,06-08-2024,20-09-2024,39199,Paid
INV103521,Gupta Retailers,22-03-2024,06-04-2024,3995,Unpaid
INV103522,Verma Traders,01-04-2024,16-04-2024,36414,Unpaid
INV103523,Sharma Distributors,23-06-2024,23-07-2024,4824,Paid
INV103524,Verma Traders,26-08-2024,10-09-2024,41807,Paid
INV103525,Agarwal Stores,16-09-2024,16-10-2024,28777,Paid
INV103526,Singh Enterprises,30-12-2024,29-01-2025,40630,Paid
INV103527,Singh Enterprises,11-06-2024,10-08-2024,21442,Paid
INV103528,Agarwal Stores,17-02-2024,18-03-2024,18059,Partially Paid
INV103529,Verma Traders,24-11-2024,09-12-2024,7644,Paid
INV103530,Gupta Retailers,23-11-2024,08-12-2024,17318,Paid
INV103531,Gupta Retailers,25-04-2024,10-05-2024,8278,Paid
INV103532,Singh Enterprises,02-12-2024,01-01-2025,15089,Unpaid
INV103533,Agarwal Stores,02-12-2024,17-12-2024,1487,Unpaid
INV103534,Agarwal Stores,12-08-2024,11-10-2024,39773,Paid
INV103535,Sharma Distributors,17-12-2024,01-01-2025,22903,Paid
INV103536,Singh Enterprises,23-11-2024,07-01-2025,10605,Paid
INV103537,Agarwal Stores,26-05-2024,25-07-2024,28401,Paid
INV103538,Sharma Distributors,03-03-2024,02-05-2024,39058,Unpaid
INV103539,Gupta Retailers,20-10-2024,19-12-2024,36276,Paid
INV103540,Singh Enterprises,18-11-2024,18-12-2024,17169,Paid
INV103541,Singh Enterprises,20-11-2024,04-01-2025,37307,Unpaid
INV103542,Agarwal Stores,13-01-2024,12-02-2024,2075,Unpaid
INV103543,Agarwal Stores,07-07-2024,05-09-2024,42088,Paid
INV103544,Verma Traders,13-10-2024,27-11-2024,29727,Paid
INV103545,Gupta Retailers,26-07-2024,24-09-2024,13519,Paid
INV103546,Gupta Retailers,23-04-2024,23-05-2024,46229,Unpaid
INV103547,Sharma Distributors,22-01-2024,22-03-2024,3191,Unpaid
INV103548,Sharma Distributors,14-12-2024,29-12-2024,49650,Paid
INV103549,Verma Traders,01-08-2024,15-09-2024,30411,Paid
INV103550,Gupta Retailers,19-06-2024,19-07-2024,1934,Unpaid
INV103551,Sharma Distributors,18-11-2024,17-01-2025,29469,Paid
INV103552,Gupta Retailers,23-02-2024,23-04-2024,20094,Paid
INV103553,Gupta Retailers,24-10-2024,23-11-2024,11625,Paid
INV103554,Sharma Distributors,15-11-2024,14-01-2025,22126,Unpaid
INV103555,Agarwal Stores,05-05-2024,20-05-2024,20261,Paid
INV103556,Agarwal Stores,03-10-2024,02-11-2024,14470,Unpaid
INV103557,Sharma Distributors,22-07-2024,21-08-2024,42810,Paid
INV103558,Verma Traders,12-07-2024,10-09-2024,5652,Unpaid
INV103559,Singh Enterprises,17-06-2024,17-07-2024,42049,Paid
INV103560,Gupta Retailers,31-05-2024,30-06-2024,36208,Paid
INV103561,Singh Enterprises,04-02-2024,19-02-2024,11584,Unpaid
INV103562,Sharma Distributors,02-07-2024,17-07-2024,12398,Paid
INV103563,Gupta Retailers,12-10-2024,11-11-2024,23622,Paid
INV103564,Singh Enterprises,26-02-2024,27-03-2024,16426,Partially Paid
INV103565,Agarwal Stores,09-08-2024,24-08-2024,20476,Paid
INV103566,Verma Traders,29-10-2024,28-12-2024,10929,Paid
INV103567,Singh Enterprises,11-06-2024,11-07-2024,42454,Paid
INV103568,Verma Traders,19-01-2024,03-02-2024,24369,Paid
INV103569,Agarwal Stores,20-09-2024,05-10-2024,42342,Partially Paid
INV103570,Singh Enterprises,08-10-2024,07-12-2024,45901,Paid
INV103571,Sharma Distributors,22-04-2024,06-06-2024,25655,Paid
INV103572,Gupta Retailers,22-11-2024,22-12-2024,42894,Paid
INV103573,Agarwal Stores,30-01-2024,14-02-2024,16170,Partially Paid
INV103574,Verma Traders,14-05-2024,13-07-2024,19258,Unpaid
INV103575,Verma Traders,07-03-2024,21-04-2024,16295,Unpaid
INV103576,Agarwal Stores,05-03-2024,20-03-2024,42796,Unpaid
INV103577,Sharma Distributors,18-10-2024,17-11-2024,37717,Paid
INV103578,Sharma Distributors,25-01-2024,25-03-2024,26090,Paid
INV103579,Verma Traders,06-02-2024,07-03-2024,33963,Paid
INV103580,Agarwal Stores,01-01-2024,15-02-2024,29693,Paid
INV103581,Agarwal Stores,06-02-2024,07-03-2024,48308,Paid
INV103582,Gupta Retailers,20-05-2024,19-07-2024,40805,Paid
INV103583,Verma Traders,19-08-2024,03-10-2024,11707,Paid
INV103584,Sharma Distributors,15-05-2024,14-07-2024,45811,Unpaid
INV103585,Singh Enterprises,06-07-2024,20-08-2024,5664,Paid
INV103586,Sharma Distributors,07-05-2024,21-06-2024,32545,Unpaid
INV103587,Sharma Distributors,19-07-2024,18-08-2024,28890,Paid
INV103588,Singh Enterprises,06-05-2024,21-05-2024,21061,Unpaid
INV103589,Verma Traders,13-09-2024,12-11-2024,14963,Paid
INV103590,Gupta Retailers,12-06-2024,11-08-2024,40806,Unpaid
INV103591,Sharma Distributors,04-02-2024,19-02-2024,34111,Paid
INV103592,Sharma Distributors,12-07-2024,10-09-2024,32433,Paid
INV103593,Verma Traders,09-07-2024,08-08-2024,32823,Unpaid
INV103594,Verma Traders,13-04-2024,28-05-2024,17559,Paid
INV103595,Agarwal Stores,23-01-2024,23-03-2024,46588,Paid
INV103596,Verma Traders,21-09-2024,20-11-2024,49814,Unpaid
INV103597,Verma Traders,16-10-2024,15-12-2024,5558,Unpaid
INV103598,Sharma Distributors,16-09-2024,16-10-2024,15564,Paid
INV103599,Gupta Retailers,23-12-2024,21-02-2025,40487,Paid
INV103600,Sharma Distributors,15-03-2024,14-04-2024,21097,Paid
INV103601,Verma Traders,20-12-2024,03-02-2025,14936,Paid
INV103602,Agarwal Stores,12-03-2024,26-04-2024,35939,Paid
INV103603,Gupta Retailers,15-09-2024,15-10-2024,1358,Paid
INV103604,Agarwal Stores,06-07-2024,20-08-2024,10541,Partially Paid
INV103605,Singh Enterprises,21-06-2024,20-08-2024,35782,Paid
INV103606,Agarwal Stores,16-10-2024,15-11-2024,44635,Paid
INV103607,Agarwal Stores,14-02-2024,29-02-2024,20703,Unpaid
INV103608,Verma Traders,01-03-2024,16-03-2024,28697,Unpaid
INV103609,Verma Traders,23-03-2024,07-05-2024,9685,Paid
INV103610,Verma Traders,02-05-2024,16-06-2024,29186,Paid
INV103611,Verma Traders,23-12-2024,07-01-2025,9859,Paid
INV103612,Verma Traders,16-01-2024,16-03-2024,25898,Unpaid
INV103613,Agarwal Stores,06-03-2024,20-04-2024,4845,Partially Paid
INV103614,Singh Enterprises,24-05-2024,08-06-2024,887,Unpaid
INV103615,Verma Traders,10-06-2024,25-07-2024,23309,Partially Paid
INV103616,Singh Enterprises,21-08-2024,05-09-2024,11490,Partially Paid
INV103617,Singh Enterprises,23-05-2024,07-06-2024,3866,Paid
INV103618,Sharma Distributors,23-12-2024,06-02-2025,31090,Paid
INV103619,Sharma Distributors,06-07-2024,05-08-2024,31603,Paid
INV103620,Gupta Retailers,17-11-2024,02-12-2024,41506,Paid
INV103621,Sharma Distributors,13-01-2024,28-01-2024,49101,Paid
INV103622,Verma Traders,02-07-2024,31-08-2024,46499,Paid
INV103623,Singh Enterprises,20-04-2024,04-06-2024,20644,Paid
INV103624,Gupta Retailers,16-10-2024,30-11-2024,31831,Partially Paid
INV103625,Sharma Distributors,21-10-2024,20-11-2024,26161,Paid
INV103626,Agarwal Stores,02-08-2024,01-10-2024,13360,Unpaid
INV103627,Gupta Retailers,29-04-2024,14-05-2024,47721,Paid
INV103628,Verma Traders,24-02-2024,10-03-2024,17364,Unpaid
INV103629,Singh Enterprises,27-01-2024,27-03-2024,42491,Paid
INV103630,Verma Traders,27-04-2024,26-06-2024,45337,Paid
INV103631,Verma Traders,08-08-2024,07-09-2024,29463,Paid
INV103632,Agarwal Stores,18-08-2024,02-09-2024,44075,Unpaid
INV103633,Agarwal Stores,22-02-2024,22-04-2024,12320,Paid
INV103634,Singh Enterprises,21-10-2024,05-11-2024,33061,Unpaid
INV103635,Sharma Distributors,16-11-2024,31-12-2024,33799,Paid
INV103636,Verma Traders,20-08-2024,19-10-2024,12722,Paid
INV103637,Sharma Distributors,06-06-2024,05-08-2024,6826,Partially Paid
INV103638,Singh Enterprises,25-09-2024,10-10-2024,5525,Paid
INV103639,Verma Traders,21-01-2024,20-02-2024,43358,Paid
INV103640,Sharma Distributors,22-02-2024,23-03-2024,31567,Partially Paid
INV103641,Verma Traders,01-10-2024,30-11-2024,31507,Paid
INV103642,Agarwal Stores,08-11-2024,07-01-2025,10428,Unpaid
INV103643,Agarwal Stores,07-10-2024,22-10-2024,7710,Paid
INV103644,Gupta Retailers,01-08-2024,31-08-2024,16256,Paid
INV103645,Singh Enterprises,31-01-2024,16-03-2024,19957,Paid
INV103646,Sharma Distributors,02-12-2024,31-01-2025,32176,Paid
INV103647,Verma Traders,01-07-2024,31-07-2024,9927,Partially Paid
INV103648,Gupta Retailers,23-01-2024,23-03-2024,29057,Paid
INV103649,Singh Enterprises,01-02-2024,01-04-2024,31901,Paid
INV103650,Singh Enterprises,14-03-2024,28-04-2024,21122,Unpaid
INV103651,Singh Enterprises,10-01-2024,25-01-2024,35408,Paid
INV103652,Sharma Distributors,23-02-2024,23-04-2024,37485,Paid
INV103653,Agarwal Stores,21-02-2024,21-04-2024,18347,Paid
INV103654,Gupta Retailers,27-05-2024,11-06-2024,21864,Paid
INV103655,Sharma Distributors,08-06-2024,08-07-2024,48883,Partially Paid
INV103656,Verma Traders,14-01-2024,14-03-2024,43432,Unpaid
INV103657,Sharma Distributors,26-06-2024,26-07-2024,19181,Unpaid
INV103658,Verma Traders,22-02-2024,23-03-2024,14428,Partially Paid
INV103659,Verma Traders,30-11-2024,15-12-2024,19757,Paid
INV103660,Singh Enterprises,22-01-2024,07-03-2024,20185,Partially Paid
INV103661,Sharma Distributors,30-01-2024,29-02-2024,13256,Partially Paid
INV103662,Agarwal Stores,09-07-2024,23-08-2024,26966,Paid
INV103663,Verma Traders,16-09-2024,16-10-2024,5060,Unpaid
INV103664,Singh Enterprises,23-07-2024,06-09-2024,26861,Paid
INV103665,Agarwal Stores,28-02-2024,13-04-2024,35423,Partially Paid
INV103666,Sharma Distributors,20-09-2024,19-11-2024,26161,Paid
INV103667,Agarwal Stores,12-01-2024,11-02-2024,43564,Partially Paid
INV103668,Sharma Distributors,28-04-2024,13-05-2024,31982,Paid
INV103669,Verma Traders,16-10-2024,31-10-2024,2679,Unpaid
INV103670,Gupta Retailers,03-12-2024,18-12-2024,17985,Paid
INV103671,Gupta Retailers,04-09-2024,04-10-2024,21851,Paid
INV103672,Verma Traders,19-12-2024,18-01-2025,16723,Paid
INV103673,Agarwal Stores,06-05-2024,20-06-2024,33221,Paid
INV103674,Sharma Distributors,15-03-2024,14-04-2024,38805,Paid
INV103675,Gupta Retailers,26-12-2024,09-02-2025,22803,Paid
INV103676,Sharma Distributors,22-07-2024,05-09-2024,32065,Unpaid
INV103677,Verma Traders,18-02-2024,18-04-2024,34263,Paid
INV103678,Agarwal Stores,19-03-2024,03-04-2024,9877,Unpaid
INV103679,Sharma Distributors,28-08-2024,12-10-2024,48569,Paid
INV103680,Agarwal Stores,14-12-2024,13-01-2025,18715,Paid
INV103681,Gupta Retailers,02-06-2024,17-06-2024,7190,Paid
INV103682,Sharma Distributors,30-09-2024,30-10-2024,17410,Paid
INV103683,Singh Enterprises,05-04-2024,05-05-2024,44326,Paid
INV103684,Gupta Retailers,01-08-2024,16-08-2024,15311,Unpaid
